population,alt,delta,rep,ui_ts_sample_size,ui_ts_time,lcb_sample_size,lcb_time,peak_sample_size,peak_time
bernoulli,0.6,0.0,51,392.0,1.633324146270752,627,2.51515793800354,679.0,6.656753778457642
bernoulli,0.6,0.0,52,622.0,1.633901834487915,676,2.4839820861816406,723.0,6.581774950027466
bernoulli,0.6,0.0,53,292.0,1.606886863708496,405,2.4876630306243896,398.0,6.642425298690796
bernoulli,0.6,0.0,54,720.0,1.6268880367279053,1165,2.500343084335327,874.0,6.647542953491211
bernoulli,0.6,0.0,55,365.0,1.6386680603027344,467,2.513273000717163,471.0,6.662124156951904
bernoulli,0.6,0.0,56,138.0,1.627458095550537,664,2.512251853942871,655.0,6.660392999649048
bernoulli,0.6,0.0,57,481.0,1.6385841369628906,659,2.516578197479248,445.0,6.664147853851318
bernoulli,0.6,0.0,58,322.0,1.6280410289764404,401,2.514798164367676,392.0,6.6541900634765625
bernoulli,0.6,0.0,59,256.0,1.6264021396636963,566,2.515233039855957,489.0,6.660076141357422
bernoulli,0.6,0.0,60,16.0,1.6350290775299072,625,2.496953010559082,98.0,6.557198762893677
bernoulli,0.6,0.0,61,705.0,1.6119208335876465,1161,2.4692599773406982,1010.0,6.5672876834869385
bernoulli,0.6,0.0,62,355.0,1.6422977447509766,381,2.4848501682281494,372.0,6.5837602615356445
bernoulli,0.6,0.0,63,393.0,1.608766794204712,624,2.4781699180603027,447.0,6.907183885574341
bernoulli,0.6,0.0,64,234.0,1.7032780647277832,504,2.6106338500976562,250.0,6.932405948638916
bernoulli,0.6,0.0,65,329.0,1.691331148147583,482,2.6320741176605225,475.0,6.84181022644043
bernoulli,0.6,0.0,66,428.0,1.6743459701538086,484,2.6022019386291504,485.0,6.7831337451934814
bernoulli,0.6,0.0,67,216.0,1.6259450912475586,322,2.5152461528778076,329.0,6.5920491218566895
bernoulli,0.6,0.0,68,779.0,1.607994794845581,933,2.474808692932129,978.0,6.565212726593018
bernoulli,0.6,0.0,69,231.0,1.61655592918396,386,2.4926371574401855,151.0,6.583131790161133
bernoulli,0.6,0.0,70,582.0,1.6093740463256836,731,2.493058681488037,742.0,6.589224815368652
bernoulli,0.6,0.0,71,551.0,1.602074146270752,741,2.4657821655273438,713.0,6.572849750518799
bernoulli,0.6,0.0,72,8.0,1.6033461093902588,713,2.4698708057403564,633.0,6.571808099746704
bernoulli,0.6,0.0,73,48.0,1.603365182876587,644,2.4771459102630615,654.0,6.581449031829834
bernoulli,0.6,0.0,74,8.0,1.6079230308532715,797,2.477775812149048,251.0,6.57122278213501
bernoulli,0.6,0.0,75,444.0,1.6067008972167969,620,2.468857765197754,575.0,6.57053017616272
bernoulli,0.6,0.0,76,43.0,1.603621244430542,63,2.4785659313201904,52.0,6.573864936828613
bernoulli,0.6,0.0,77,345.0,1.6194748878479004,394,2.4718499183654785,395.0,6.562278985977173
bernoulli,0.6,0.0,78,420.0,1.6061499118804932,678,2.4708919525146484,727.0,6.572530746459961
bernoulli,0.6,0.0,79,153.0,1.601881742477417,227,2.4725677967071533,204.0,6.570264101028442
bernoulli,0.6,0.0,80,641.0,1.6092169284820557,920,2.4721248149871826,967.0,6.566344976425171
bernoulli,0.6,0.0,81,616.0,1.6012380123138428,872,2.472346305847168,775.0,6.564061880111694
