alt,n_bands,delta,method,bet,allocation,stopping_time,sample_size,run_time
0.51,3,0.0,uinnsm_product,agrapa,predictable_kelly,400.0,400.0,0.706627368927002
0.51,10,0.0,uinnsm_product,agrapa,predictable_kelly,400.0,400.0,2.3371565341949463
0.51,100,0.0,uinnsm_product,agrapa,predictable_kelly,400.0,400.0,23.422922372817993
0.51,500,0.0,uinnsm_product,agrapa,predictable_kelly,336.0,400.0,117.11295437812805
0.51,1,0.0,uinnsm_product,agrapa,greedy_kelly,400.0,400.0,0.5244472026824951
0.51,3,0.0,uinnsm_product,agrapa,greedy_kelly,400.0,400.0,1.1412911415100098
0.51,10,0.0,uinnsm_product,agrapa,greedy_kelly,400.0,400.0,3.3242135047912598
0.51,100,0.0,uinnsm_product,agrapa,greedy_kelly,400.0,400.0,31.13513684272766
0.51,500,0.0,uinnsm_product,agrapa,greedy_kelly,370.0,370.0,155.68662881851196
0.51,1,0.0,uinnsm_product,inverse,round_robin,400.0,400.0,0.03865766525268555
0.51,3,0.0,uinnsm_product,inverse,round_robin,400.0,400.0,0.10699081420898438
0.51,10,0.0,uinnsm_product,inverse,round_robin,347.0,347.0,0.35272955894470215
0.51,100,0.0,uinnsm_product,inverse,round_robin,334.0,334.0,3.497464656829834
0.51,500,0.0,uinnsm_product,inverse,round_robin,332.0,332.0,17.487278699874878
0.51,1,0.0,uinnsm_product,inverse,predictable_kelly,400.0,400.0,0.22551870346069336
0.51,3,0.0,uinnsm_product,inverse,predictable_kelly,400.0,400.0,0.6683876514434814
0.51,10,0.0,uinnsm_product,inverse,predictable_kelly,345.0,400.0,2.2333719730377197
0.51,100,0.0,uinnsm_product,inverse,predictable_kelly,333.0,400.0,22.321061849594116
0.51,500,0.0,uinnsm_product,inverse,predictable_kelly,332.0,400.0,111.6462709903717
0.51,1,0.0,uinnsm_product,inverse,greedy_kelly,400.0,400.0,0.5178730487823486
0.51,3,0.0,uinnsm_product,inverse,greedy_kelly,400.0,400.0,1.1212108135223389
0.51,10,0.0,uinnsm_product,inverse,greedy_kelly,347.0,347.0,3.2214221954345703
0.51,100,0.0,uinnsm_product,inverse,greedy_kelly,334.0,334.0,30.12362241744995
0.51,500,0.0,uinnsm_product,inverse,greedy_kelly,332.0,332.0,149.95759868621826
0.51,1,0.0,lcb,fixed_predictable,round_robin,400.0,400.0,10.962515115737915
0.51,3,0.0,lcb,fixed_predictable,round_robin,,,10.962515115737915
0.51,10,0.0,lcb,fixed_predictable,round_robin,,,10.962515115737915
0.51,100,0.0,lcb,fixed_predictable,round_robin,,,10.962515115737915
0.51,500,0.0,lcb,fixed_predictable,round_robin,,,10.962515115737915
0.51,1,0.0,lcb,fixed_predictable,predictable_kelly,,,10.962515115737915
0.51,3,0.0,lcb,fixed_predictable,predictable_kelly,,,10.962515115737915
0.51,10,0.0,lcb,fixed_predictable,predictable_kelly,,,10.962515115737915
0.51,100,0.0,lcb,fixed_predictable,predictable_kelly,,,10.962515115737915
0.51,500,0.0,lcb,fixed_predictable,predictable_kelly,,,10.962515115737915
0.51,1,0.0,lcb,fixed_predictable,greedy_kelly,,,10.962515115737915
0.51,3,0.0,lcb,fixed_predictable,greedy_kelly,,,10.962515115737915
0.51,10,0.0,lcb,fixed_predictable,greedy_kelly,,,10.962515115737915
0.51,100,0.0,lcb,fixed_predictable,greedy_kelly,,,10.962515115737915
0.51,500,0.0,lcb,fixed_predictable,greedy_kelly,,,10.962515115737915
0.51,1,0.0,lcb,agrapa,round_robin,400.0,400.0,10.971739768981934
0.51,3,0.0,lcb,agrapa,round_robin,,,10.971739768981934
0.51,10,0.0,lcb,agrapa,round_robin,,,10.971739768981934
0.51,100,0.0,lcb,agrapa,round_robin,,,10.971739768981934
0.51,500,0.0,lcb,agrapa,round_robin,,,10.971739768981934
0.51,1,0.0,lcb,agrapa,predictable_kelly,,,10.971739768981934
0.51,3,0.0,lcb,agrapa,predictable_kelly,,,10.971739768981934
0.51,10,0.0,lcb,agrapa,predictable_kelly,,,10.971739768981934
0.51,100,0.0,lcb,agrapa,predictable_kelly,,,10.971739768981934
0.51,500,0.0,lcb,agrapa,predictable_kelly,,,10.971739768981934
0.51,1,0.0,lcb,agrapa,greedy_kelly,,,10.971739768981934
0.51,3,0.0,lcb,agrapa,greedy_kelly,,,10.971739768981934
0.51,10,0.0,lcb,agrapa,greedy_kelly,,,10.971739768981934
0.51,100,0.0,lcb,agrapa,greedy_kelly,,,10.971739768981934
0.51,500,0.0,lcb,agrapa,greedy_kelly,,,10.971739768981934
0.51,1,0.0,lcb,inverse,round_robin,400.0,400.0,0.37323927879333496
0.51,3,0.0,lcb,inverse,round_robin,,,0.37323927879333496
0.51,10,0.0,lcb,inverse,round_robin,,,0.37323927879333496
0.51,100,0.0,lcb,inverse,round_robin,,,0.37323927879333496
0.51,500,0.0,lcb,inverse,round_robin,,,0.37323927879333496
0.51,1,0.0,lcb,inverse,predictable_kelly,,,0.37323927879333496
0.51,3,0.0,lcb,inverse,predictable_kelly,,,0.37323927879333496
0.51,10,0.0,lcb,inverse,predictable_kelly,,,0.37323927879333496
0.51,100,0.0,lcb,inverse,predictable_kelly,,,0.37323927879333496
0.51,500,0.0,lcb,inverse,predictable_kelly,,,0.37323927879333496
