alt,n_bands,delta,method,bet,allocation,stopping_time,sample_size,run_time,worst_case_eta
0.51,3,0.0,lcb,smooth_predictable,predictable_kelly,,,-0.6397686004638672,
0.51,10,0.0,lcb,smooth_predictable,predictable_kelly,,,-0.6397686004638672,
0.51,100,0.0,lcb,smooth_predictable,predictable_kelly,,,-0.6397686004638672,
0.51,500,0.0,lcb,smooth_predictable,predictable_kelly,,,-0.6397686004638672,
0.51,1,0.0,lcb,smooth_predictable,greedy_kelly,,,-0.6397686004638672,
0.51,3,0.0,lcb,smooth_predictable,greedy_kelly,,,-0.6397686004638672,
0.51,10,0.0,lcb,smooth_predictable,greedy_kelly,,,-0.6397686004638672,
0.51,100,0.0,lcb,smooth_predictable,greedy_kelly,,,-0.6397686004638672,
0.51,500,0.0,lcb,smooth_predictable,greedy_kelly,,,-0.6397686004638672,
0.51,1,0.5,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.05322861671447754,[0.5 0.5]
0.51,3,0.5,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.15447020530700684,[0.5 0.5]
0.51,10,0.5,uinnsm_product,fixed_predictable,round_robin,400,400.0,-0.5103244781494141,[0.35 0.65]
0.51,100,0.5,uinnsm_product,fixed_predictable,round_robin,400,400.0,-5.096269130706787,[0.395 0.605]
0.51,500,0.5,uinnsm_product,fixed_predictable,round_robin,400,400.0,-25.592473030090332,[0.399 0.601]
0.51,1,0.5,uinnsm_product,fixed_predictable,predictable_kelly,400,400.0,-0.3228116035461426,[0.5 0.5]
0.51,3,0.5,uinnsm_product,fixed_predictable,predictable_kelly,400,400.0,-0.9527015686035156,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,fixed_predictable,predictable_kelly,400,400.0,-3.1682424545288086,[0.25 0.75]
0.51,100,0.5,uinnsm_product,fixed_predictable,predictable_kelly,348,400.0,-31.718356370925903,[0.255 0.745]
0.51,500,0.5,uinnsm_product,fixed_predictable,predictable_kelly,348,400.0,-158.7294385433197,[0.251 0.749]
0.51,1,0.5,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-0.7350375652313232,[0.5 0.5]
0.51,3,0.5,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-1.5806822776794434,[0.83333333 0.16666667]
0.51,10,0.5,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-4.5585105419158936,[0.95 0.05]
0.51,100,0.5,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-42.87593364715576,[0.995 0.005]
0.51,500,0.5,uinnsm_product,fixed_predictable,greedy_kelly,400,400.0,-214.8034529685974,[0.999 0.001]
0.51,1,0.5,uinnsm_product,agrapa,round_robin,400,400.0,-0.053632497787475586,[0.5 0.5]
0.51,3,0.5,uinnsm_product,agrapa,round_robin,400,400.0,-0.15702223777770996,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,agrapa,round_robin,400,400.0,-0.5228736400604248,[0.25 0.75]
0.51,100,0.5,uinnsm_product,agrapa,round_robin,400,400.0,-5.194852828979492,[0.255 0.745]
0.51,500,0.5,uinnsm_product,agrapa,round_robin,348,348.0,-26.13694405555725,[0.259 0.741]
0.51,1,0.5,uinnsm_product,agrapa,predictable_kelly,400,400.0,-0.3188660144805908,[0.5 0.5]
0.51,3,0.5,uinnsm_product,agrapa,predictable_kelly,400,400.0,-0.9469625949859619,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,agrapa,predictable_kelly,400,400.0,-3.159041166305542,[0.25 0.75]
0.51,100,0.5,uinnsm_product,agrapa,predictable_kelly,400,400.0,-31.849229097366333,[0.255 0.745]
0.51,500,0.5,uinnsm_product,agrapa,predictable_kelly,287,400.0,-159.369535446167,[0.255 0.745]
0.51,1,0.5,uinnsm_product,agrapa,greedy_kelly,400,400.0,-0.7270655632019043,[0.5 0.5]
0.51,3,0.5,uinnsm_product,agrapa,greedy_kelly,400,400.0,-1.579911470413208,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,agrapa,greedy_kelly,400,400.0,-4.565310955047607,[0.25 0.75]
0.51,100,0.5,uinnsm_product,agrapa,greedy_kelly,400,400.0,-42.95149207115173,[0.255 0.745]
0.51,500,0.5,uinnsm_product,agrapa,greedy_kelly,287,287.0,-214.4341492652893,[0.255 0.745]
0.51,1,0.5,uinnsm_product,smooth_predictable,round_robin,400,400.0,-0.05280756950378418,[0.5 0.5]
0.51,3,0.5,uinnsm_product,smooth_predictable,round_robin,400,400.0,-0.15371394157409668,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,smooth_predictable,round_robin,376,376.0,-0.5063207149505615,[0.25 0.75]
0.51,100,0.5,uinnsm_product,smooth_predictable,round_robin,308,308.0,-5.054955720901489,[0.255 0.745]
0.51,500,0.5,uinnsm_product,smooth_predictable,round_robin,306,306.0,-25.29603934288025,[0.259 0.741]
0.51,1,0.5,uinnsm_product,smooth_predictable,predictable_kelly,400,400.0,-0.3184218406677246,[0.5 0.5]
0.51,3,0.5,uinnsm_product,smooth_predictable,predictable_kelly,400,400.0,-0.9505720138549805,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,smooth_predictable,predictable_kelly,397,400.0,-3.170945405960083,[0.25 0.75]
0.51,100,0.5,uinnsm_product,smooth_predictable,predictable_kelly,304,400.0,-31.72038507461548,[0.255 0.745]
0.51,500,0.5,uinnsm_product,smooth_predictable,predictable_kelly,303,400.0,-158.15543818473816,[0.251 0.749]
0.51,1,0.5,uinnsm_product,smooth_predictable,greedy_kelly,400,400.0,-0.7322931289672852,[0.5 0.5]
0.51,3,0.5,uinnsm_product,smooth_predictable,greedy_kelly,400,400.0,-1.5872695446014404,[0.16666667 0.83333333]
0.51,10,0.5,uinnsm_product,smooth_predictable,greedy_kelly,397,397.0,-4.588594913482666,[0.25 0.75]
