K,global_mean,delta,sd,mean_stop_lcb,percentile90_stop_lcb,mean_stop_uinnsm,percentile90_stop_uinnsm
2,0.5888888888888889,0.1,0.01,93.19,95.0,2000.0,2000.0
2,0.5888888888888889,0.1,0.05,94.105,101.0,2000.0,2000.0
2,0.5888888888888889,0.1,0.1,96.11,111.0,2000.0,2000.0
2,0.5888888888888889,0.2,0.01,93.08,94.0,2000.0,2000.0
2,0.5888888888888889,0.2,0.05,94.005,101.0,2000.0,2000.0
2,0.5888888888888889,0.2,0.1,97.89,113.1,2000.0,2000.0
2,0.611111111111111,0.0,0.01,75.135,76.0,188.61,198.0
2,0.611111111111111,0.0,0.05,76.075,81.0,205.14,252.0
2,0.611111111111111,0.0,0.1,77.805,87.0,260.475,407.5
2,0.611111111111111,0.1,0.01,75.21,76.0,1755.1,2000.0
2,0.611111111111111,0.1,0.05,75.67,81.0,1701.34,2000.0
2,0.611111111111111,0.1,0.1,77.695,88.0,1847.88,2000.0
2,0.611111111111111,0.2,0.01,75.16,76.0,2000.0,2000.0
2,0.611111111111111,0.2,0.05,75.715,81.0,2000.0,2000.0
2,0.611111111111111,0.2,0.1,77.605,87.1,2000.0,2000.0
2,0.6333333333333333,0.0,0.01,63.245,64.0,91.06,94.0
2,0.6333333333333333,0.0,0.05,63.985,68.0,95.35,110.1
2,0.6333333333333333,0.0,0.1,65.045,72.1,106.85,142.2
2,0.6333333333333333,0.1,0.01,63.245,64.0,155.07,162.0
2,0.6333333333333333,0.1,0.05,63.73,67.0,163.78,206.0
2,0.6333333333333333,0.1,0.1,65.725,74.0,194.96,308.4
2,0.6333333333333333,0.2,0.01,63.245,64.0,813.38,900.4
2,0.6333333333333333,0.2,0.05,64.03,67.1,1121.73,1912.1999999999996
2,0.6333333333333333,0.2,0.1,66.235,73.0,1550.97,2000.0
2,0.6555555555555554,0.0,0.01,54.705,55.0,60.6,62.0
2,0.6555555555555554,0.0,0.05,55.22,58.0,63.49,72.0
2,0.6555555555555554,0.0,0.1,56.595,62.099999999999994,69.47,89.1
2,0.6555555555555554,0.1,0.01,54.745,55.0,82.2,84.0
2,0.6555555555555554,0.1,0.05,54.99,58.0,84.09,98.0
2,0.6555555555555554,0.1,0.1,55.9,62.0,92.12,126.19999999999999
2,0.6555555555555554,0.2,0.01,54.69,55.0,138.74,144.2
2,0.6555555555555554,0.2,0.05,54.695,57.099999999999994,142.6,170.0
2,0.6555555555555554,0.2,0.1,55.795,61.099999999999994,167.02,238.0
2,0.6777777777777777,0.0,0.01,48.23,49.0,45.68,46.0
2,0.6777777777777777,0.0,0.05,48.82,51.0,47.715,52.0
2,0.6777777777777777,0.0,0.1,49.695,55.0,50.735,62.0
2,0.6777777777777777,0.1,0.01,48.33,49.0,56.5,58.0
2,0.6777777777777777,0.1,0.05,48.5,51.0,57.55,66.0
2,0.6777777777777777,0.1,0.1,49.27,54.0,60.28,74.0
2,0.6777777777777777,0.2,0.01,48.3,49.0,77.22,80.0
2,0.6777777777777777,0.2,0.05,48.635,51.0,80.02,90.19999999999999
2,0.6777777777777777,0.2,0.1,49.415,54.0,88.0,114.19999999999999
2,0.7,0.0,0.01,43.35,44.0,37.07,38.0
2,0.7,0.0,0.05,43.435,46.0,37.995,42.0
2,0.7,0.0,0.1,44.1,48.0,39.68,48.0
2,0.7,0.1,0.01,43.29,44.0,43.38,44.0
2,0.7,0.1,0.05,43.36,45.0,43.69,48.0
2,0.7,0.1,0.1,44.245,48.0,46.12,58.0
2,0.7,0.2,0.01,43.28,44.0,53.88,56.0
2,0.7,0.2,0.05,43.495,46.0,54.99,62.0
2,0.7,0.2,0.1,45.01,49.0,61.12,78.0
3,0.5,0.0,0.01,3000.0,3000.0,3000.0,3000.0
3,0.5,0.0,0.05,3000.0,3000.0,3000.0,3000.0
3,0.5,0.0,0.1,3000.0,3000.0,3000.0,3000.0
3,0.5,0.1,0.01,3000.0,3000.0,3000.0,3000.0
3,0.5,0.1,0.05,3000.0,3000.0,3000.0,3000.0
