A_c,stratum_gap,A_c_1,A_c_2,bet,allocation,stopping_time_uinnsm,stopping_time_lcb
0.6,0.1,0.5499999999999999,0.65,fixed,proportional_to_mart,88.0,
0.6,0.1,0.5499999999999999,0.65,agrapa,round_robin,62.0,99.0
0.6,0.1,0.5499999999999999,0.65,agrapa,larger_means,75.0,101.0
0.6,0.1,0.5499999999999999,0.65,agrapa,proportional_to_mart,70.0,
0.6,0.1,0.5499999999999999,0.65,smooth_predictable,round_robin,63.0,121.0
0.6,0.1,0.5499999999999999,0.65,smooth_predictable,larger_means,168.0,122.0
0.6,0.1,0.5499999999999999,0.65,smooth_predictable,proportional_to_mart,71.0,
0.6,0.1,0.5499999999999999,0.65,uniform_mixture,round_robin,100.0,
0.6,0.1,0.5499999999999999,0.65,uniform_mixture,larger_means,128.0,
0.6,0.1,0.5499999999999999,0.65,uniform_mixture,proportional_to_mart,109.0,
0.6,0.5,0.35,0.85,fixed,round_robin,1000.0,163.0
0.6,0.5,0.35,0.85,fixed,larger_means,1000.0,163.0
0.6,0.5,0.35,0.85,fixed,proportional_to_mart,88.0,
0.6,0.5,0.35,0.85,agrapa,round_robin,62.0,99.0
0.6,0.5,0.35,0.85,agrapa,larger_means,74.0,104.0
0.6,0.5,0.35,0.85,agrapa,proportional_to_mart,66.0,
0.6,0.5,0.35,0.85,smooth_predictable,round_robin,63.0,121.0
0.6,0.5,0.35,0.85,smooth_predictable,larger_means,161.0,123.0
0.6,0.5,0.35,0.85,smooth_predictable,proportional_to_mart,70.0,
0.6,0.5,0.35,0.85,uniform_mixture,round_robin,100.0,
0.6,0.5,0.35,0.85,uniform_mixture,larger_means,135.0,
0.6,0.5,0.35,0.85,uniform_mixture,proportional_to_mart,115.0,
0.65,0.0,0.65,0.65,fixed,round_robin,78.0,110.0
0.65,0.0,0.65,0.65,fixed,larger_means,252.0,110.0
0.65,0.0,0.65,0.65,fixed,proportional_to_mart,63.0,
0.65,0.0,0.65,0.65,agrapa,round_robin,39.0,63.0
0.65,0.0,0.65,0.65,agrapa,larger_means,59.0,63.0
0.65,0.0,0.65,0.65,agrapa,proportional_to_mart,44.0,
0.65,0.0,0.65,0.65,smooth_predictable,round_robin,42.0,81.0
0.65,0.0,0.65,0.65,smooth_predictable,larger_means,102.0,81.0
0.65,0.0,0.65,0.65,smooth_predictable,proportional_to_mart,54.0,
0.65,0.0,0.65,0.65,uniform_mixture,round_robin,68.0,
0.65,0.0,0.65,0.65,uniform_mixture,larger_means,90.0,
0.65,0.0,0.65,0.65,uniform_mixture,proportional_to_mart,78.0,
0.65,0.1,0.6,0.7000000000000001,fixed,round_robin,86.0,110.0
0.65,0.1,0.6,0.7000000000000001,fixed,larger_means,330.0,115.0
0.65,0.1,0.6,0.7000000000000001,fixed,proportional_to_mart,68.0,
0.65,0.1,0.6,0.7000000000000001,agrapa,round_robin,39.0,63.0
0.65,0.1,0.6,0.7000000000000001,agrapa,larger_means,53.0,63.0
0.65,0.1,0.6,0.7000000000000001,agrapa,proportional_to_mart,49.0,
0.65,0.1,0.6,0.7000000000000001,smooth_predictable,round_robin,42.0,81.0
0.65,0.1,0.6,0.7000000000000001,smooth_predictable,larger_means,101.0,81.0
0.65,0.1,0.6,0.7000000000000001,smooth_predictable,proportional_to_mart,58.0,
0.65,0.1,0.6,0.7000000000000001,uniform_mixture,round_robin,68.0,
0.65,0.1,0.6,0.7000000000000001,uniform_mixture,larger_means,88.0,
0.65,0.1,0.6,0.7000000000000001,uniform_mixture,proportional_to_mart,81.0,
0.65,0.5,0.4,0.9,fixed,round_robin,168.0,110.0
0.65,0.5,0.4,0.9,fixed,larger_means,935.0,111.0
0.65,0.5,0.4,0.9,fixed,proportional_to_mart,68.0,
0.65,0.5,0.4,0.9,agrapa,round_robin,39.0,63.0
0.65,0.5,0.4,0.9,agrapa,larger_means,52.0,63.0
0.65,0.5,0.4,0.9,agrapa,proportional_to_mart,44.0,
0.65,0.5,0.4,0.9,smooth_predictable,round_robin,42.0,81.0
0.65,0.5,0.4,0.9,smooth_predictable,larger_means,102.0,82.0
0.65,0.5,0.4,0.9,smooth_predictable,proportional_to_mart,50.0,
0.65,0.5,0.4,0.9,uniform_mixture,round_robin,68.0,
0.65,0.5,0.4,0.9,uniform_mixture,larger_means,89.0,
0.65,0.5,0.4,0.9,uniform_mixture,proportional_to_mart,77.0,
0.7,0.0,0.7,0.7,fixed,round_robin,54.0,83.0
0.7,0.0,0.7,0.7,fixed,larger_means,141.0,84.0
0.7,0.0,0.7,0.7,fixed,proportional_to_mart,52.0,
0.7,0.0,0.7,0.7,agrapa,round_robin,28.0,45.0
0.7,0.0,0.7,0.7,agrapa,larger_means,39.0,45.0
0.7,0.0,0.7,0.7,agrapa,proportional_to_mart,36.0,
0.7,0.0,0.7,0.7,smooth_predictable,round_robin,32.0,61.0
0.7,0.0,0.7,0.7,smooth_predictable,larger_means,75.0,61.0
0.7,0.0,0.7,0.7,smooth_predictable,proportional_to_mart,37.0,
0.7,0.0,0.7,0.7,uniform_mixture,round_robin,51.0,
0.7,0.0,0.7,0.7,uniform_mixture,larger_means,75.0,
0.7,0.0,0.7,0.7,uniform_mixture,proportional_to_mart,59.0,
0.7,0.1,0.6499999999999999,0.75,fixed,round_robin,56.0,83.0
0.7,0.1,0.6499999999999999,0.75,fixed,larger_means,136.0,83.0
0.7,0.1,0.6499999999999999,0.75,fixed,proportional_to_mart,51.0,
0.7,0.1,0.6499999999999999,0.75,agrapa,round_robin,28.0,45.0
0.7,0.1,0.6499999999999999,0.75,agrapa,larger_means,39.0,45.0
0.7,0.1,0.6499999999999999,0.75,agrapa,proportional_to_mart,34.0,
0.7,0.1,0.6499999999999999,0.75,smooth_predictable,round_robin,32.0,61.0
0.7,0.1,0.6499999999999999,0.75,smooth_predictable,larger_means,68.0,61.0
0.7,0.1,0.6499999999999999,0.75,smooth_predictable,proportional_to_mart,43.0,
0.7,0.1,0.6499999999999999,0.75,uniform_mixture,round_robin,51.0,
0.7,0.1,0.6499999999999999,0.75,uniform_mixture,larger_means,73.0,
0.7,0.1,0.6499999999999999,0.75,uniform_mixture,proportional_to_mart,59.0,
0.7,0.5,0.44999999999999996,0.95,fixed,round_robin,82.0,83.0
0.7,0.5,0.44999999999999996,0.95,fixed,larger_means,342.0,83.0
0.7,0.5,0.44999999999999996,0.95,fixed,proportional_to_mart,54.0,
0.7,0.5,0.44999999999999996,0.95,agrapa,round_robin,28.0,45.0
0.7,0.5,0.44999999999999996,0.95,agrapa,larger_means,42.0,46.0
0.7,0.5,0.44999999999999996,0.95,agrapa,proportional_to_mart,41.0,
0.7,0.5,0.44999999999999996,0.95,smooth_predictable,round_robin,32.0,61.0
0.7,0.5,0.44999999999999996,0.95,smooth_predictable,larger_means,81.0,61.0
0.7,0.5,0.44999999999999996,0.95,smooth_predictable,proportional_to_mart,44.0,
0.7,0.5,0.44999999999999996,0.95,uniform_mixture,round_robin,51.0,
0.7,0.5,0.44999999999999996,0.95,uniform_mixture,larger_means,70.0,
0.7,0.5,0.44999999999999996,0.95,uniform_mixture,proportional_to_mart,69.0,
0.75,0.0,0.75,0.75,fixed,round_robin,42.0,67.0
0.75,0.0,0.75,0.75,fixed,larger_means,92.0,68.0
0.75,0.0,0.75,0.75,fixed,proportional_to_mart,44.0,
0.75,0.0,0.75,0.75,agrapa,round_robin,22.0,35.0
0.75,0.0,0.75,0.75,agrapa,larger_means,32.0,35.0
0.75,0.0,0.75,0.75,agrapa,proportional_to_mart,33.0,
0.75,0.0,0.75,0.75,smooth_predictable,round_robin,26.0,49.0
0.75,0.0,0.75,0.75,smooth_predictable,larger_means,54.0,51.0
0.75,0.0,0.75,0.75,smooth_predictable,proportional_to_mart,35.0,
0.75,0.0,0.75,0.75,uniform_mixture,round_robin,42.0,
0.75,0.0,0.75,0.75,uniform_mixture,larger_means,68.0,
0.75,0.0,0.75,0.75,uniform_mixture,proportional_to_mart,47.0,
0.75,0.1,0.7,0.8,fixed,round_robin,42.0,67.0
0.75,0.1,0.7,0.8,fixed,larger_means,99.0,69.0
0.75,0.1,0.7,0.8,fixed,proportional_to_mart,45.0,
0.75,0.1,0.7,0.8,agrapa,round_robin,22.0,35.0
0.75,0.1,0.7,0.8,agrapa,larger_means,35.0,40.0
0.75,0.1,0.7,0.8,agrapa,proportional_to_mart,29.0,
0.75,0.1,0.7,0.8,smooth_predictable,round_robin,26.0,49.0
0.75,0.1,0.7,0.8,smooth_predictable,larger_means,68.0,49.0
0.75,0.1,0.7,0.8,smooth_predictable,proportional_to_mart,35.0,
0.75,0.1,0.7,0.8,uniform_mixture,round_robin,42.0,
0.75,0.1,0.7,0.8,uniform_mixture,larger_means,74.0,
0.75,0.1,0.7,0.8,uniform_mixture,proportional_to_mart,55.0,
0.75,0.5,0.5,1.0,fixed,round_robin,56.0,67.0
0.75,0.5,0.5,1.0,fixed,larger_means,164.0,69.0
0.75,0.5,0.5,1.0,fixed,proportional_to_mart,43.0,
0.75,0.5,0.5,1.0,agrapa,round_robin,22.0,35.0
0.75,0.5,0.5,1.0,agrapa,larger_means,31.0,38.0
0.75,0.5,0.5,1.0,agrapa,proportional_to_mart,30.0,
0.75,0.5,0.5,1.0,smooth_predictable,round_robin,26.0,49.0
0.75,0.5,0.5,1.0,smooth_predictable,larger_means,60.0,52.0
0.75,0.5,0.5,1.0,smooth_predictable,proportional_to_mart,34.0,
0.75,0.5,0.5,1.0,uniform_mixture,round_robin,42.0,
0.75,0.5,0.5,1.0,uniform_mixture,larger_means,59.0,
0.75,0.5,0.5,1.0,uniform_mixture,proportional_to_mart,57.0,
