alt,n_bands,delta,method,bet,allocation,stopping_time,sample_size,run_time,worst_case_eta
0.51,10,0.0,lcb,agrapa,round_robin,339,339,-18.331624031066895,
0.51,100,0.0,lcb,agrapa,round_robin,339,339,-18.334377765655518,
0.51,500,0.0,lcb,agrapa,round_robin,339,339,-18.341148138046265,
0.51,1,0.0,lcb,agrapa,predictable_kelly,,,-18.341148138046265,
0.51,3,0.0,lcb,agrapa,predictable_kelly,,,-18.341148138046265,
0.51,10,0.0,lcb,agrapa,predictable_kelly,,,-18.341148138046265,
0.51,100,0.0,lcb,agrapa,predictable_kelly,,,-18.341148138046265,
0.51,500,0.0,lcb,agrapa,predictable_kelly,,,-18.341148138046265,
0.51,1,0.0,lcb,agrapa,greedy_kelly,,,-18.341148138046265,
0.51,3,0.0,lcb,agrapa,greedy_kelly,,,-18.341148138046265,
0.51,10,0.0,lcb,agrapa,greedy_kelly,,,-18.341148138046265,
0.51,100,0.0,lcb,agrapa,greedy_kelly,,,-18.341148138046265,
0.51,500,0.0,lcb,agrapa,greedy_kelly,,,-18.341148138046265,
0.51,1,0.0,lcb,smooth_predictable,round_robin,400,400,-17.95019268989563,
0.51,3,0.0,lcb,smooth_predictable,round_robin,400,400,-17.94277596473694,
0.51,10,0.0,lcb,smooth_predictable,round_robin,400,400,-17.926672220230103,
0.51,100,0.0,lcb,smooth_predictable,round_robin,400,400,-17.957598447799683,
0.51,500,0.0,lcb,smooth_predictable,round_robin,400,400,-17.967893838882446,
0.51,1,0.0,lcb,smooth_predictable,predictable_kelly,,,-17.967893838882446,
0.51,3,0.0,lcb,smooth_predictable,predictable_kelly,,,-17.967893838882446,
0.51,10,0.0,lcb,smooth_predictable,predictable_kelly,,,-17.967893838882446,
0.51,100,0.0,lcb,smooth_predictable,predictable_kelly,,,-17.967893838882446,
0.51,500,0.0,lcb,smooth_predictable,predictable_kelly,,,-17.967893838882446,
0.51,1,0.0,lcb,smooth_predictable,greedy_kelly,,,-17.967893838882446,
0.51,3,0.0,lcb,smooth_predictable,greedy_kelly,,,-17.967893838882446,
0.51,10,0.0,lcb,smooth_predictable,greedy_kelly,,,-17.967893838882446,
0.51,100,0.0,lcb,smooth_predictable,greedy_kelly,,,-17.967893838882446,
0.51,500,0.0,lcb,smooth_predictable,greedy_kelly,,,-17.967893838882446,
0.51,1,0.0,lcb,inverse,round_robin,400,400,-18.217599868774414,
0.51,3,0.0,lcb,inverse,round_robin,400,400,-18.23212218284607,
